City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hermanus,-34.42,19.23,50.0,96,79,5.14,ZA,2020-09-06 00:11:44
1,Atherton,53.52,-2.49,55.0,93,60,1.99,GB,2020-09-06 00:11:44
2,Rikitea,-23.12,-134.97,72.28,80,21,12.08,PF,2020-09-06 00:11:45
3,Avarua,-21.21,-159.78,75.2,69,100,11.41,CK,2020-09-06 00:11:45
4,Korla,41.76,86.15,69.01,53,0,1.99,CN,2020-09-06 00:11:45
5,Mar Del Plata,-38.0,-57.56,46.0,75,20,8.05,AR,2020-09-06 00:09:20
6,Barrow,71.29,-156.79,41.0,80,90,6.93,US,2020-09-06 00:09:08
7,Padang,-0.95,100.35,77.18,71,96,4.16,ID,2020-09-06 00:11:45
8,Albany,42.6,-73.97,66.99,59,46,3.56,US,2020-09-06 00:11:46
9,Mahebourg,-20.41,57.7,68.0,88,40,2.24,MU,2020-09-06 00:11:46
10,Segezha,63.74,34.32,55.56,87,96,11.52,RU,2020-09-06 00:11:46
11,Klaksvik,62.23,-6.59,44.6,87,92,21.92,FO,2020-09-06 00:06:06
12,Kodiak,57.79,-152.41,53.6,76,75,14.99,US,2020-09-06 00:09:08
13,Sao Filipe,14.9,-24.5,79.65,84,78,8.25,CV,2020-09-06 00:07:39
14,Fernandina Beach,30.67,-81.46,87.01,74,1,5.82,US,2020-09-06 00:07:34
15,Chuy,-33.7,-53.46,49.95,81,94,9.57,UY,2020-09-06 00:09:38
16,Georgetown,5.41,100.34,78.8,88,40,4.7,MY,2020-09-06 00:09:43
17,Baruun-Urt,46.68,113.28,57.58,71,70,14.52,MN,2020-09-06 00:09:04
18,Qaanaaq,77.48,-69.36,24.31,80,0,6.15,GL,2020-09-06 00:09:00
19,Arraial Do Cabo,-22.97,-42.03,70.65,89,3,12.1,BR,2020-09-06 00:09:06
20,Praia,14.92,-23.51,77.0,88,75,6.93,CV,2020-09-06 00:11:49
21,Goderich,43.75,-81.72,64.99,82,68,9.8,CA,2020-09-06 00:09:57
22,Castro,-24.79,-50.01,64.2,68,21,3.62,BR,2020-09-06 00:11:49
23,Egvekinot,66.32,-179.17,42.15,72,90,8.23,RU,2020-09-06 00:11:49
24,Karpathos,35.51,27.21,77.0,65,0,32.21,GR,2020-09-06 00:11:50
25,Hilo,19.73,-155.09,84.2,51,40,8.05,US,2020-09-06 00:04:35
26,Rudnogorsk,57.26,103.75,46.81,87,100,7.02,RU,2020-09-06 00:11:50
27,Mataura,-46.19,168.86,45.0,72,99,11.01,NZ,2020-09-06 00:09:10
28,Mapastepec,15.43,-92.9,80.8,80,100,1.12,MX,2020-09-06 00:11:50
29,Bredasdorp,-34.53,20.04,51.8,93,87,2.24,ZA,2020-09-06 00:11:50
30,Port-Cartier,50.03,-66.87,57.0,66,20,10.29,CA,2020-09-06 00:11:51
31,Dikson,73.51,80.55,41.34,90,93,17.56,RU,2020-09-06 00:09:13
32,Angoche,-16.23,39.91,68.97,79,6,8.84,MZ,2020-09-06 00:10:29
33,Guerrero Negro,27.98,-114.06,87.85,44,0,13.24,MX,2020-09-06 00:10:21
34,Bethel,41.37,-73.41,70.0,56,1,3.36,US,2020-09-06 00:09:09
35,Ingham,42.6,-84.38,66.99,72,90,4.7,US,2020-09-06 00:11:51
36,Esso,55.93,158.7,48.74,56,100,4.88,RU,2020-09-06 00:11:51
37,Saint-Pierre,-21.34,55.48,64.4,88,75,5.82,RE,2020-09-06 00:11:52
38,Huambo,-12.78,15.74,57.47,37,10,2.04,AO,2020-09-06 00:11:52
39,Biswan,27.5,81.0,82.58,73,25,1.99,IN,2020-09-06 00:11:52
40,Busselton,-33.65,115.33,63.0,85,100,26.15,AU,2020-09-06 00:08:56
41,Shelburne,44.08,-80.2,66.2,52,40,5.82,CA,2020-09-06 00:11:52
42,Punta Arenas,-53.15,-70.92,41.0,75,20,10.29,CL,2020-09-06 00:11:53
43,Vila,42.03,-8.16,68.0,77,2,8.05,PT,2020-09-06 00:11:53
44,Atuona,-9.8,-139.03,78.91,72,37,23.15,PF,2020-09-06 00:08:56
45,Tiznit,29.58,-9.5,79.59,50,0,1.12,MA,2020-09-06 00:09:46
46,Bambanglipuro,-7.95,110.28,77.23,78,64,5.53,ID,2020-09-06 00:11:53
47,Cape Town,-33.93,18.42,55.99,76,66,16.11,ZA,2020-09-06 00:09:09
48,Hithadhoo,-0.6,73.08,80.01,74,100,28.19,MV,2020-09-06 00:09:58
49,Nerja,36.76,-3.89,71.01,79,14,1.99,ES,2020-09-06 00:11:54
50,Henties Bay,-22.12,14.28,54.0,87,0,1.01,NA,2020-09-06 00:11:54
51,Palmer,42.16,-72.33,73.4,38,20,4.7,US,2020-09-06 00:11:54
52,Balad,34.02,44.15,86.47,13,0,5.64,IQ,2020-09-06 00:11:54
53,Nemuro,43.32,145.57,71.6,88,75,9.17,JP,2020-09-06 00:11:55
54,Niquelandia,-14.47,-48.46,75.06,28,52,3.42,BR,2020-09-06 00:11:55
55,Gobabis,-22.45,18.97,55.96,38,34,4.83,NA,2020-09-06 00:11:55
56,Jalu,29.03,21.55,76.23,52,0,11.74,LY,2020-09-06 00:11:55
57,Surt,31.21,16.59,76.84,83,0,11.27,LY,2020-09-06 00:11:56
58,Emerald,-23.53,148.17,75.0,64,28,8.05,AU,2020-09-06 00:11:56
59,Shingu,33.73,135.98,80.6,78,75,5.82,JP,2020-09-06 00:11:56
60,San Patricio,19.22,-104.7,84.2,74,75,9.17,MX,2020-09-06 00:11:56
61,Talcahuano,-36.72,-73.12,53.6,76,75,5.82,CL,2020-09-06 00:11:56
62,Hay River,60.82,-115.8,48.2,87,75,9.17,CA,2020-09-06 00:11:57
63,Cap Malheureux,-19.98,57.61,66.0,82,1,1.99,MU,2020-09-06 00:11:57
64,Husavik,66.04,-17.34,37.4,86,39,6.93,IS,2020-09-06 00:10:06
65,Fare,-16.7,-151.02,78.91,75,22,10.09,PF,2020-09-06 00:11:57
66,Seoul,37.57,126.98,71.6,78,75,4.21,KR,2020-09-06 00:09:27
67,Belyy Yar,53.6,91.39,41.0,93,71,1.23,RU,2020-09-06 00:11:57
68,Yumen,40.28,97.2,61.72,34,0,9.06,CN,2020-09-06 00:09:01
69,New Norfolk,-42.78,147.06,57.2,50,75,11.41,AU,2020-09-06 00:09:11
70,Butaritari,3.07,172.79,83.7,74,14,12.17,KI,2020-09-06 00:09:10
71,Yarada,17.65,83.27,80.6,94,40,2.24,IN,2020-09-06 00:11:58
72,Mociu,46.8,24.03,59.0,87,0,3.36,RO,2020-09-06 00:11:58
73,Mirabad,30.44,61.84,72.07,22,0,12.91,AF,2020-09-06 00:11:59
74,Labuhan,-6.88,112.21,78.1,75,60,10.51,ID,2020-09-06 00:09:17
75,Port Elizabeth,-33.92,25.57,57.2,93,100,8.05,ZA,2020-09-06 00:09:11
76,Kapaa,22.08,-159.32,84.2,66,20,14.99,US,2020-09-06 00:09:11
77,Arkhipo-Osipovka,44.37,38.52,70.14,84,91,4.12,RU,2020-09-06 00:11:59
78,Tuatapere,-46.13,167.68,45.0,72,85,11.01,NZ,2020-09-06 00:09:33
79,Torbay,47.67,-52.73,66.99,93,90,17.22,CA,2020-09-06 00:09:11
80,Ushuaia,-54.8,-68.3,41.0,84,20,13.87,AR,2020-09-06 00:07:39
81,Polonnaruwa,7.93,81.0,78.31,73,100,3.62,LK,2020-09-06 00:12:00
82,Eureka,40.8,-124.16,75.0,60,1,16.11,US,2020-09-06 00:10:32
83,Ubinskoye,55.31,79.68,42.49,97,99,9.15,RU,2020-09-06 00:12:00
84,Valleyview,55.07,-117.29,59.99,64,77,7.81,CA,2020-09-06 00:12:00
85,Tura,25.52,90.22,75.22,91,94,5.82,IN,2020-09-06 00:10:09
86,Mudkhed,19.17,77.52,77.27,86,100,2.89,IN,2020-09-06 00:12:01
87,Leh,34.17,77.58,53.91,49,19,5.19,IN,2020-09-06 00:09:15
88,Mandiana,10.63,-8.68,71.65,93,96,8.34,GN,2020-09-06 00:12:01
89,Kashirskoye,51.42,39.61,60.8,38,98,2.24,RU,2020-09-06 00:12:01
90,Avera,33.19,-82.53,82.4,61,1,5.82,US,2020-09-06 00:12:01
91,Hlukhiv,51.68,33.92,61.45,50,84,6.06,UA,2020-09-06 00:12:01
92,Parati,-23.22,-44.71,70.66,79,48,2.59,BR,2020-09-06 00:09:47
93,Lebu,-37.62,-73.65,48.11,87,22,2.66,CL,2020-09-06 00:09:12
94,Waipawa,-41.41,175.52,59.0,82,100,24.16,NZ,2020-09-06 00:08:58
95,Hami,42.8,93.45,70.23,29,0,12.41,CN,2020-09-06 00:09:21
96,Vaini,-21.2,-175.2,73.4,69,75,11.41,TO,2020-09-06 00:08:59
97,Chokurdakh,70.63,147.92,47.53,53,100,10.51,RU,2020-09-06 00:09:33
98,Vila Velha,-20.33,-40.29,73.4,83,0,5.82,BR,2020-09-06 00:10:09
99,Phibun Mangsahan,15.24,105.23,78.8,94,20,3.36,TH,2020-09-06 00:12:03
100,Hobart,-42.88,147.33,57.2,50,75,11.41,AU,2020-09-06 00:07:22
101,Flin Flon,54.77,-101.86,62.6,63,90,4.7,CA,2020-09-06 00:09:17
102,Olafsvik,64.89,-23.71,48.69,78,92,20.47,IS,2020-09-06 00:09:15
103,Kodinsk,58.69,99.18,44.67,89,65,3.27,RU,2020-09-06 00:09:52
104,Caravelas,-17.71,-39.25,72.37,85,0,6.98,BR,2020-09-06 00:09:14
105,Saskylakh,71.92,114.08,41.59,85,75,10.76,RU,2020-09-06 00:09:23
106,Fairbanks,64.84,-147.72,50.0,81,90,0.43,US,2020-09-06 00:09:30
107,Kaitangata,-46.28,169.85,53.01,64,98,15.01,NZ,2020-09-06 00:09:45
108,Fortuna,40.6,-124.16,72.0,56,1,11.41,US,2020-09-06 00:10:05
109,Salamanca,40.83,-6.0,69.01,72,0,8.05,ES,2020-09-06 00:12:05
110,Samarai,-10.62,150.67,79.56,85,71,13.8,PG,2020-09-06 00:09:06
111,Daru,-9.08,143.21,78.51,86,98,18.25,PG,2020-09-06 00:09:46
112,Jesup,31.61,-81.89,89.6,52,1,3.31,US,2020-09-06 00:12:05
113,Tasiilaq,65.61,-37.64,39.2,93,100,0.2,GL,2020-09-06 00:08:56
114,Havre-Saint-Pierre,50.23,-63.6,50.0,87,1,11.41,CA,2020-09-06 00:12:06
115,Lasa,46.62,10.7,59.0,87,75,4.7,IT,2020-09-06 00:10:17
116,Codrington,-38.27,141.97,54.25,74,26,11.36,AU,2020-09-06 00:09:25
117,Victoria,22.29,114.16,82.0,78,17,5.77,HK,2020-09-06 00:06:34
118,Ponta Do Sol,32.67,-17.1,73.4,78,40,16.11,PT,2020-09-06 00:09:16
119,Pangnirtung,66.15,-65.71,44.56,58,0,3.31,CA,2020-09-06 00:12:07
120,Kabare,-2.47,28.82,66.97,62,75,2.13,CD,2020-09-06 00:12:07
121,Rundu,-17.93,19.77,59.11,33,0,5.39,NA,2020-09-06 00:12:07
122,Bouna,9.27,-3.0,72.63,90,100,8.01,CI,2020-09-06 00:12:07
123,Richards Bay,-28.78,32.04,63.07,85,9,3.69,ZA,2020-09-06 00:10:02
124,Talnakh,69.49,88.4,35.6,66,0,11.18,RU,2020-09-06 00:09:57
125,Raudeberg,61.99,5.14,48.99,95,100,15.39,NO,2020-09-06 00:09:29
126,Carnarvon,-24.87,113.63,64.4,93,90,5.82,AU,2020-09-06 00:05:27
127,Sioux Lookout,50.1,-91.92,62.6,51,75,8.05,CA,2020-09-06 00:12:08
128,Clyde River,70.47,-68.59,35.6,80,20,13.87,CA,2020-09-06 00:12:08
129,Pucallpa,-8.38,-74.55,87.8,62,20,2.24,PE,2020-09-06 00:12:08
130,Kavieng,-2.57,150.8,84.4,76,38,12.84,PG,2020-09-06 00:09:16
131,Flinders,-34.58,150.86,64.0,76,64,5.99,AU,2020-09-06 00:10:58
132,Comodoro Rivadavia,-45.87,-67.5,51.8,53,52,6.93,AR,2020-09-06 00:07:22
133,Valga,57.78,26.05,55.4,93,86,9.17,EE,2020-09-06 00:12:09
134,Bluff,-46.6,168.33,45.0,72,89,11.01,NZ,2020-09-06 00:09:17
135,Araouane,18.9,-3.53,97.59,29,63,6.06,ML,2020-09-06 00:12:09
136,Polczyn-Zdroj,53.76,16.1,52.0,10,65,8.84,PL,2020-09-06 00:12:09
137,Khatanga,71.97,102.5,37.72,78,1,6.64,RU,2020-09-06 00:09:42
138,Roblin,51.23,-101.36,66.92,57,100,5.35,CA,2020-09-06 00:12:10
139,Cayenne,4.93,-52.33,77.0,100,34,3.36,GF,2020-09-06 00:09:30
140,Shahrud,36.42,54.98,60.48,54,7,3.04,IR,2020-09-06 00:12:10
141,Mount Gambier,-37.83,140.77,50.0,81,47,10.29,AU,2020-09-06 00:10:33
142,Provideniya,64.38,-173.3,45.28,65,98,5.06,RU,2020-09-06 00:09:09
143,Constitucion,-35.33,-72.42,50.49,83,9,4.07,CL,2020-09-06 00:12:10
144,Luderitz,-26.65,15.16,58.1,70,0,25.55,NA,2020-09-06 00:09:56
145,Saint-Joseph,-21.37,55.62,64.4,88,90,3.36,RE,2020-09-06 00:09:31
146,Jamestown,42.1,-79.24,61.0,82,75,9.17,US,2020-09-06 00:06:45
147,Hasaki,35.73,140.83,80.6,88,75,11.41,JP,2020-09-06 00:08:56
148,Rocha,-34.48,-54.33,43.47,84,1,5.66,UY,2020-09-06 00:10:03
149,Saint Anthony,45.02,-93.22,77.0,38,1,5.82,US,2020-09-06 00:09:36
150,Itarema,-2.92,-39.92,78.37,74,27,18.66,BR,2020-09-06 00:09:15
151,Lompoc,34.64,-120.46,87.8,47,1,11.41,US,2020-09-06 00:10:20
152,Naze,28.37,129.48,80.6,94,75,49.44,JP,2020-09-06 00:12:12
153,Norman Wells,65.28,-126.83,57.2,44,40,4.7,CA,2020-09-06 00:12:12
154,Mersing,2.43,103.84,73.4,100,92,2.24,MY,2020-09-06 00:12:12
155,Takaka,-40.85,172.8,57.0,92,96,18.01,NZ,2020-09-06 00:12:12
156,Karatuzskoye,53.61,92.87,42.06,84,38,2.21,RU,2020-09-06 00:12:12
157,Mount Isa,-20.73,139.5,80.6,26,0,11.41,AU,2020-09-06 00:09:23
158,Saint-Philippe,-21.36,55.77,64.4,88,90,3.36,RE,2020-09-06 00:09:03
159,Faanui,-16.48,-151.75,78.33,77,19,10.22,PF,2020-09-06 00:09:05
160,Santa Cruz De La Palma,28.68,-17.76,71.6,68,0,4.7,ES,2020-09-06 00:12:13
161,Thompson,55.74,-97.86,60.8,48,75,3.36,CA,2020-09-06 00:09:19
162,Viedma,-40.81,-63.0,45.0,80,27,3.0,AR,2020-09-06 00:12:13
163,Tuktoyaktuk,69.45,-133.04,37.4,71,90,8.05,CA,2020-09-06 00:08:57
164,Vitim,59.45,112.56,59.7,76,23,3.8,RU,2020-09-06 00:12:14
165,Nikolskoye,59.7,30.79,59.0,82,20,4.47,RU,2020-09-06 00:09:10
166,Myitkyina,25.38,97.4,74.21,96,97,1.77,MM,2020-09-06 00:12:14
167,Puerto Barrios,15.72,-88.6,84.2,74,40,6.93,GT,2020-09-06 00:12:14
